run_id,harness,field_family,n,exact_label_accuracy,monthly_rate_accuracy_tolerance_15pct,pragmatic_macro_f1,pragmatic_weighted_f1,purist_macro_f1,purist_weighted_f1,adjudication_status
matrix_meta-llama_Llama-3_1-70B-Instruct_multi_agent_anchor_sc3,multi_agent_anchor_sc3,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_meta-llama_Llama-3_1-8B-Instruct_multi_agent_anchor_sc3,multi_agent_anchor_sc3,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-5-haiku-20241022_multi_agent_anchor_sc5,multi_agent_anchor_sc5,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-5-sonnet-20241022_multi_agent_anchor_sc5,multi_agent_anchor_sc5,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-haiku-20240307_multi_agent_anchor_sc5,multi_agent_anchor_sc5,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_gpt-4o-2024-11-20_multi_agent_anchor_sc5,multi_agent_anchor_sc5,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_gpt-4o-mini-2024-07-18_multi_agent_anchor_sc5,multi_agent_anchor_sc5,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_meta-llama_Llama-3_1-70B-Instruct_multi_agent_anchor_sc5,multi_agent_anchor_sc5,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_meta-llama_Llama-3_1-8B-Instruct_multi_agent_anchor_sc5,multi_agent_anchor_sc5,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-5-haiku-20241022_retrieval_anchor,retrieval_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-5-sonnet-20241022_retrieval_anchor,retrieval_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-haiku-20240307_retrieval_anchor,retrieval_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_gpt-4o-2024-11-20_retrieval_anchor,retrieval_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_gpt-4o-mini-2024-07-18_retrieval_anchor,retrieval_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_meta-llama_Llama-3_1-70B-Instruct_retrieval_anchor,retrieval_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_meta-llama_Llama-3_1-8B-Instruct_retrieval_anchor,retrieval_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-5-haiku-20241022_single_prompt_anchor,single_prompt_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-5-sonnet-20241022_single_prompt_anchor,single_prompt_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_claude-3-haiku-20240307_single_prompt_anchor,single_prompt_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_gpt-4o-2024-11-20_single_prompt_anchor,single_prompt_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_gpt-4o-mini-2024-07-18_single_prompt_anchor,single_prompt_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_meta-llama_Llama-3_1-70B-Instruct_single_prompt_anchor,single_prompt_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
matrix_meta-llama_Llama-3_1-8B-Instruct_single_prompt_anchor,single_prompt_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
multi_agent_anchor_n1_gold_seeded_2026_05_03,multi_agent_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
multi_agent_anchor_sc3_n1_gold_seeded_2026_05_03,multi_agent_anchor_sc3,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
multi_agent_anchor_sc5_n1_gold_seeded_2026_05_03,multi_agent_anchor_sc5,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
retrieval_anchor_n1_gold_seeded_2026_05_03,retrieval_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
single_prompt_anchor_n1_gold_seeded_2026_05_03,single_prompt_anchor,seizure_frequency,1,1.0,1.0,1.0,1.0,1.0,1.0,not_adjudicated
